INFO 2025-11-23 23:36:50,355 basehttp 23866 123145671069696 "GET /static/js/mobile.js HTTP/1.1" 200 17520
INFO 2025-11-23 23:36:50,355 basehttp 23866 123145620701184 "GET /static/accounting/js/accounting.js HTTP/1.1" 200 22804
WARNING 2025-11-23 23:36:50,355 basehttp 23866 123145687859200 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
WARNING 2025-11-23 23:36:52,068 log 23866 123145671069696 Not Found: /favicon.ico
WARNING 2025-11-23 23:36:52,069 basehttp 23866 123145671069696 "GET /favicon.ico HTTP/1.1" 404 52776
INFO 2025-11-23 23:37:05,940 basehttp 23866 123145671069696 "GET /purchases/ajax/invoices/item-search/?term=%D8%AD%D9%84%D9%8A%D8%A8&limit=20 HTTP/1.1" 200 1717
INFO 2025-11-23 23:37:17,808 basehttp 23866 123145671069696 "GET /purchases/ajax/invoices/item-search/?term=%D8%AD%D9%84%D9%8A&limit=20 HTTP/1.1" 200 1717
INFO 2025-11-23 23:37:33,604 basehttp 23866 123145671069696 "POST /purchases/invoices/create/ HTTP/1.1" 302 0
INFO 2025-11-23 23:37:33,667 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 101634
WARNING 2025-11-23 23:37:33,744 log 23866 123145671069696 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-23 23:37:33,744 basehttp 23866 123145671069696 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 52887
INFO 2025-11-23 23:38:28,494 basehttp 23866 123145671069696 "GET /purchases/invoices/10/update/ HTTP/1.1" 200 363189
INFO 2025-11-23 23:38:48,406 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 100974
INFO 2025-11-23 23:39:05,214 basehttp 23866 123145671069696 "GET /inventory/stock-in/ HTTP/1.1" 200 90866
INFO 2025-11-23 23:39:12,320 basehttp 23866 123145671069696 "GET /purchases/invoices/ HTTP/1.1" 200 105806
INFO 2025-11-23 23:39:12,669 basehttp 23866 123145671069696 "GET /purchases/ajax/invoices/datatable/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=supplier&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=invoice_type&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=warehouse&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=total_amount&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=is_posted&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=actions&columns%5B7%5D%5Bsearchable%5D=false&columns%5B7%5D%5Borderable%5D=false&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&start=0&length=50&search%5Bvalue%5D=&search%5Bregex%5D=false&invoice_type=&posted=&supplier=&warehouse=&search_filter=&_=1763930352493 HTTP/1.1" 200 1530
INFO 2025-11-23 23:39:20,951 basehttp 23866 123145671069696 "GET /purchases/invoices/10/post/ HTTP/1.1" 302 0
INFO 2025-11-23 23:39:21,013 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 101648
INFO 2025-11-23 23:39:25,889 basehttp 23866 123145671069696 "GET /inventory/stock-in/ HTTP/1.1" 200 91812
INFO 2025-11-23 23:39:41,457 basehttp 23866 123145671069696 "GET /inventory/stock-in/27/ HTTP/1.1" 200 95678
INFO 2025-11-23 23:39:51,765 basehttp 23866 123145671069696 "GET /inventory/reports/stock/ HTTP/1.1" 200 90475
INFO 2025-11-23 23:40:25,105 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 100938
INFO 2025-11-23 23:41:07,524 basehttp 23866 123145671069696 "GET /accounting/journal-entries/ HTTP/1.1" 200 105789
INFO 2025-11-23 23:41:07,815 basehttp 23866 123145671069696 "GET /accounting/ajax/journal-entries/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=entry_date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=entry_type&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=description&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=total_debit&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=actions&columns%5B6%5D%5Bsearchable%5D=false&columns%5B6%5D%5Borderable%5D=false&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=1&order%5B0%5D%5Bdir%5D=desc&start=0&length=25&search%5Bvalue%5D=&search%5Bregex%5D=false&status=&entry_type=&date_from=&date_to=&search_filter=&_=1763930467664 HTTP/1.1" 200 24340
INFO 2025-11-23 23:41:15,183 basehttp 23866 123145671069696 "GET /accounting/journal-entries/1016/ HTTP/1.1" 200 109822
INFO 2025-11-23 23:41:59,035 basehttp 23866 123145671069696 "GET /purchases/invoices/create/ HTTP/1.1" 200 346255
INFO 2025-11-23 23:42:06,975 basehttp 23866 123145671069696 "GET /purchases/ajax/invoices/item-search/?term=%D8%AD%D9%84&limit=20 HTTP/1.1" 200 1733
INFO 2025-11-23 23:43:56,923 basehttp 23866 123145671069696 "GET /purchases/invoices/ HTTP/1.1" 200 105806
INFO 2025-11-23 23:43:57,263 basehttp 23866 123145671069696 "GET /purchases/ajax/invoices/datatable/?draw=1&columns%5B0%5D%5Bdata%5D=0&columns%5B0%5D%5Bname%5D=number&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=1&columns%5B1%5D%5Bname%5D=date&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=2&columns%5B2%5D%5Bname%5D=supplier&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=3&columns%5B3%5D%5Bname%5D=invoice_type&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=4&columns%5B4%5D%5Bname%5D=warehouse&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=5&columns%5B5%5D%5Bname%5D=total_amount&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B6%5D%5Bdata%5D=6&columns%5B6%5D%5Bname%5D=is_posted&columns%5B6%5D%5Bsearchable%5D=true&columns%5B6%5D%5Borderable%5D=true&columns%5B6%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B6%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B7%5D%5Bdata%5D=7&columns%5B7%5D%5Bname%5D=actions&columns%5B7%5D%5Bsearchable%5D=false&columns%5B7%5D%5Borderable%5D=false&columns%5B7%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B7%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&start=0&length=50&search%5Bvalue%5D=&search%5Bregex%5D=false&invoice_type=&posted=&supplier=&warehouse=&search_filter=&_=1763930637061 HTTP/1.1" 200 1001
INFO 2025-11-23 23:43:59,808 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 100938
INFO 2025-11-23 23:44:09,348 basehttp 23866 123145671069696 "GET /purchases/invoices/10/unpost/ HTTP/1.1" 302 0
INFO 2025-11-23 23:44:09,423 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 101691
INFO 2025-11-23 23:44:15,536 basehttp 23866 123145671069696 "GET /inventory/reports/stock/ HTTP/1.1" 200 90475
INFO 2025-11-23 23:44:24,730 basehttp 23866 123145671069696 "GET /purchases/invoices/10/ HTTP/1.1" 200 100974
WARNING 2025-11-23 23:44:29,025 log 23866 123145671069696 Not Found: /accounting/journal-entries/1016/
WARNING 2025-11-23 23:44:29,025 basehttp 23866 123145671069696 "GET /accounting/journal-entries/1016/ HTTP/1.1" 404 56354
